model,seed,missing_type,position,ratio,n,clean_accuracy,clean_macro_f1,clean_weighted_f1,clean_mae,clean_pearson,gap_accuracy,gap_macro_f1,gap_weighted_f1,gap_mae,gap_pearson,delta_macro_f1_clean_minus_gap,delta_mae_gap_minus_clean
M1,2718,audio,middle,0.2,715,0.6181818181818182,0.5502617628658918,0.5880361426244011,0.5868322220370434,0.6450125446132786,0.6195804195804195,0.55117199391172,0.589063831146023,0.5865308644403084,0.645351712411332,-0.0009102310458282137,-0.00030135759673499685
M1,31415,audio,middle,0.2,715,0.6181818181818182,0.54598652630755,0.5853848103050912,0.6369708476573477,0.6431856731586778,0.6223776223776224,0.5504085518399409,0.5898077500902527,0.6349832104440857,0.6426798578548082,-0.004422025532390905,-0.0019876372132620057
M0,1729,audio,middle,0.3,715,0.6335664335664336,0.6003974535384574,0.628060406233534,0.6170394200134788,0.6345134385194822,0.6363636363636364,0.6041999575039987,0.6309948229969976,0.6114624693117046,0.6393365916894989,-0.0038025039655412707,-0.005576950701774219
M0,2718,audio,middle,0.3,715,0.6307692307692307,0.5846602817524914,0.6148351089086143,0.5850616864277167,0.6514378907109494,0.627972027972028,0.5834954130604073,0.6130870924130617,0.5854070757211257,0.6525476697746752,0.0011648686920840978,0.00034538929340899305
M0,31415,audio,middle,0.3,715,0.6153846153846154,0.5482163712010347,0.5863161255043784,0.6312396174716809,0.6361066028165463,0.620979020979021,0.5600828044175853,0.59524846740614,0.6263486063550715,0.6396915405107912,-0.011866433216550565,-0.0048910111166093895
M1,1729,audio,middle,0.3,715,0.6293706293706294,0.5993311394338793,0.6249942312107749,0.5964291707977288,0.6410823753701124,0.634965034965035,0.6051116687444725,0.6310080443163907,0.5959674029601282,0.6415077482836402,-0.005780529310593252,-0.0004617678376006573
M1,2718,audio,middle,0.3,715,0.6181818181818182,0.5502617628658918,0.5880361426244011,0.5868322220370434,0.6450125446132786,0.6167832167832168,0.5468576034357425,0.5858271751443469,0.5871759821950634,0.6450020610486238,0.0034041594301492673,0.00034376015801995674
M1,31415,audio,middle,0.3,715,0.6181818181818182,0.54598652630755,0.5853848103050912,0.6369708476573477,0.6431856731586778,0.6195804195804195,0.5464825733433057,0.5863963299192069,0.6354122296408783,0.6415633360035667,-0.0004960470357557867,-0.001558618016469393
M0,1729,audio,late,0.1,715,0.6335664335664336,0.6003974535384574,0.628060406233534,0.6170394200134788,0.6345134385194822,0.6363636363636364,0.6047085445855055,0.6311781830521404,0.6165386457787501,0.6359929099636766,-0.004311091047048077,-0.0005007742347287181
M0,2718,audio,late,0.1,715,0.6307692307692307,0.5846602817524914,0.6148351089086143,0.5850616864277167,0.6514378907109494,0.627972027972028,0.5822260295826022,0.6125318324526325,0.5849755374724501,0.6516392895729104,0.0024342521698892394,-8.614895526659616e-05
M0,31415,audio,late,0.1,715,0.6153846153846154,0.5482163712010347,0.5863161255043784,0.6312396174716809,0.6361066028165463,0.6167832167832168,0.5517562486988256,0.588983596145946,0.6310971442421156,0.6372913356306833,-0.003539877497790833,-0.00014247322956528752
M1,1729,audio,late,0.1,715,0.6293706293706294,0.5993311394338793,0.6249942312107749,0.5964291707977288,0.6410823753701124,0.6293706293706294,0.600221728227836,0.6255232399122717,0.5959793321156575,0.6412326511906261,-0.0008905887939567592,-0.00044983868207137956
M1,2718,audio,late,0.1,715,0.6181818181818182,0.5502617628658918,0.5880361426244011,0.5868322220370434,0.6450125446132786,0.6223776223776224,0.5550889527665351,0.5925191182483691,0.5865715682156502,0.6446631547835355,-0.004827189900643347,-0.0002606538213932863
